Imaginary,,,,Sum,Real,,,,Sum,epsilon e(w),Refractive index n(w),Extension k(w),EELS (L(w)),Reflectivity (R(w)),Transmittance (A(w)),Emx,wavelength,Absorption (alfa(w))
13.410169,0.740514,0.739683,2.911965,1.464054,13.410169,1.829276,1.828798,0.18581,1.28129466666667,1.94555137113993,1.27020589626379,0.576305780152021,0.38678684094037,0.073850218553327,3.49368853726091E-14,-0.386786840940335,92.4671419129767,15.4567158150309
13.793317,2.307525,2.306382,0.652682,1.75552966666667,13.793317,0.616414,0.617044,0.358569,0.530675666666667,1.83398502549473,1.08735014879325,0.807251311187557,0.521935218149108,0.131628298721441,5.37840537478175E-21,-0.521935218149108,89.8986081447994,22.2693464677512
14.176464,0.380353,0.380678,1.598686,0.786572333333333,14.176464,-0.411842,-0.412176,1.340467,0.172149666666667,0.805190377053085,0.699049370116214,0.562601417695698,1.21322545765865,0.127085511770985,1.11841378512428E-14,-1.21322545765864,87.4689203175065,15.951397488624
14.559612,0.111365,0.111369,1.309679,0.510804333333333,14.559612,0.246352,0.246307,-0.451606,0.013684333333333,0.510987600564719,0.512187433415763,0.498649810604289,1.95629276699491,0.191930242713159,3.01789737604768E-13,-1.95629276699461,85.1671047277908,14.5202955325439
14.94276,0.064488,0.064488,0.599945,0.242973666666667,14.94276,0.528173,0.528165,-0.351926,0.234804,0.337889214254383,0.535113639451651,0.227029969667424,2.1281907428695,0.111149911605856,1.64093470753049E-05,-2.12817433352243,82.9833310579839,6.7849086990952
15.325907,0.096571,0.096667,0.11054,0.101259333333333,15.325907,0.703731,0.70381,-0.034917,0.457541333333333,0.468612339034682,0.680497491680908,0.074400960011778,0.461113273740959,0.038032611387831,0.524174165307465,0.063060891566506,80.908751436375,2.28052438770246
15.709055,0.076043,0.076042,0.059845,0.070643333333333,15.709055,0.918458,0.918393,0.226715,0.687855333333333,0.691473383536601,0.830460329236121,0.042532635724041,0.147747536373197,0.009113703425523,4.61004295709864,4.46229542072544,78.9353656219295,1.33629502776784
16.092203,0.226718,0.22662,0.032463,0.161933666666667,16.092203,1.356843,1.356678,0.375349,1.02962333333333,1.04227957906915,1.01781700526236,0.079549499482437,0.149062599945871,0.001629649181725,0.27526222215831,0.126199622212439,77.0559506364666,2.56025338843953
16.47535,2.417563,2.417514,0.023782,1.61961966666667,16.47535,0.664589,0.666015,0.479986,0.60353,1.72841439636259,1.07980192543878,0.749961464464204,0.542147290557709,0.116368335123583,1.94198008935155E-23,-0.542147290557709,75.2639549387418,24.7117552271206
16.858498,0.229403,0.229486,0.023764,0.160884333333333,16.858498,-0.073963,-0.074121,0.564664,0.13886,0.212522630117621,0.419155478383392,0.191914864090332,3.56207772253085,0.182468083097533,3.38226238027158E-05,-3.56204389990705,73.5534090878084,6.47079270487425
17.241646,0.094792,0.094842,0.063327,0.084320333333333,17.241646,0.293828,0.293858,0.588685,0.392123666666667,0.401087133393176,0.629766147097414,0.066945749403937,0.524149111632334,0.053203715544796,0.491462261936936,-0.032686849695398,71.9188875586472,2.3085098248548
17.624793,0.039324,0.039352,0.017603,0.032093,17.624793,0.460754,0.460745,0.64223,0.521243,0.522230050550521,0.722313315172343,0.022215428766077,0.117675648057529,0.026156780914142,16.4784110938284,16.3607354457709,70.3554362312227,0.783084666816706
18.007941,0.024076,0.024067,0.038297,0.028813333333333,18.007941,0.557732,0.557719,0.706122,0.607191,0.607874262211173,0.7794437959889,0.018483265555265,0.077976904830138,0.015469009824207,21.5927963504139,21.5148194455838,68.8585108092036,0.665691111213081
18.391089,0.032373,0.032377,0.02237,0.02904,18.391089,0.605755,0.605799,0.694764,0.635439333333333,0.636102560871367,0.797352461024828,0.018210265484523,0.071769897177848,0.012813403163312,21.3888174333449,21.3170475361671,67.4239573306399,0.669813226478975
18.774236,0.013949,0.013955,0.023445,0.017116333333333,18.774236,0.64637,0.646392,0.75736,0.683374,0.683588321098874,0.826729194204146,0.010351837973865,0.036628696768742,0.009028921472613,40.8605588034897,40.823930106721,66.0479606200753,0.388695698310214
19.157384,0.009353,0.009354,0.052014,0.023573666666667,19.157384,0.687805,0.687835,0.7199,0.698513333333333,0.698911006212204,0.835890046461117,0.01410093753746,0.048259562335327,0.00804906545632,28.8221151986338,28.7738556362985,64.7270003044257,0.540274150330283
19.540532,0.007894,0.007896,0.01297,0.009586666666667,19.540532,0.720227,0.720263,0.773331,0.737940333333333,0.738002601443849,0.859052656935878,0.00557978989371,0.017601587608023,0.005757137236346,60.5251499479466,60.5075483603386,63.457842396512,0.218064125942651
19.923679,0.007542,0.007541,0.017246,0.010776333333333,19.923679,0.748071,0.748111,0.822308,0.77283,0.772905128887182,0.879128866801444,0.006128983895466,0.018039256675582,0.004148037305185,56.9870511464971,56.9690118898215,62.2375014172834,0.244223815458851
20.306827,0.0075,0.007497,0.038134,0.017710333333333,20.306827,0.772878,0.772943,0.879385,0.808402,0.808595974211335,0.899165717265548,0.009848203169486,0.027087167029443,0.002845784934668,39.8133281955332,39.7862410285037,61.063207954645,0.399971516047194
20.689975,0.00944,0.009445,0.357462,0.125449,20.689975,0.802441,0.802519,0.83968,0.81488,0.824479754755082,0.905361738410422,0.069281147345732,0.184547094414889,0.003784184007857,0.135878137996022,-0.048668956418868,59.9324068782103,2.866850413109
21.073122,0.039758,0.039765,0.039223,0.039582,21.073122,0.819784,0.819888,0.686331,0.775334333333333,0.77634403660326,0.880817339161927,0.022468903733016,0.065673368371937,0.004157559856804,11.2984820727897,11.2328087044178,58.8427286664026,0.946979899144217
21.45627,0.021441,0.021471,0.011773,0.018228333333333,21.45627,0.854811,0.854982,0.759467,0.823086666666667,0.82328848709341,0.907296851576174,0.010045407576179,0.026893224495138,0.002390067486071,37.0617605283624,37.0348673038673,57.7919647730011,0.43107395442908
21.839418,0.163474,0.163579,0.007186,0.111413,21.839418,0.946194,0.946647,0.79312,0.895320333333333,0.902225778754471,0.948036421264448,0.058759873302865,0.136869097954761,0.001619919031931,0.271292089562617,0.134422991607855,56.7780698185272,2.56656286937659
22.222566,0.061515,0.061801,0.009657,0.044324333333333,22.222566,0.68507,0.684639,0.815848,0.728519,0.729866138333903,0.853927730646424,0.025953211110606,0.083206217868038,0.006402693296469,7.02273217926707,6.93952596139903,55.7991367873539,1.15349389363473
22.605713,0.0121,0.012134,0.009668,0.011300666666667,22.605713,0.767497,0.767328,0.834519,0.789781333333333,0.789862177565738,0.888719165681452,0.006357838956921,0.018113460502688,0.003482702444534,51.5885159265061,51.5704024660034,54.8533903796797,0.287446965520755
22.988861,0.006849,0.006862,0.009961,0.007890666666667,22.988861,0.7995,0.799406,0.849737,0.816214333333333,0.81625247353942,0.903456364987472,0.004366932910353,0.011843080375668,0.002577785731497,62.9822791768341,62.9704360964584,53.9391664510912,0.200781627344882
23.372009,0.006034,0.006042,0.071089,0.027721666666667,23.372009,0.818929,0.81887,0.864027,0.833942,0.834402630728582,0.913330342956091,0.015176144579267,0.039816951651275,0.002114671106946,19.5256735749882,19.4858566233369,53.054917101906,0.709393975383837
23.755156,0.009216,0.009221,0.011618,0.010018333333333,23.755156,0.835146,0.835111,0.825653,0.83197,0.83203031669692,0.912140426879798,0.005491661721215,0.01447162084876,0.002119475771083,54.8389888227796,54.8245172019309,52.1991941454731,0.260910561773403
24.138304,0.011488,0.011498,0.00641,0.009798666666667,24.138304,0.845164,0.845165,0.848174,0.846167666666667,0.846224399305855,0.919889141682986,0.005326004092591,0.013683459070757,0.001748809345741,55.3195435746609,55.3058601155902,51.370634821734,0.257121411784417
24.521452,0.026718,0.026825,0.006135,0.019892666666667,24.521452,0.863871,0.86393,0.858606,0.862135666666667,0.862365134920174,0.92857439163129,0.010711401717487,0.026749189393264,0.001402428320565,29.831957652929,29.8052084635357,50.5679679979799,0.525318246136167
24.904599,0.022788,0.02287,0.0093,0.018319333333333,24.904599,0.82673,0.826644,0.868504,0.840626,0.840825588246325,0.916911006653951,0.009989700854495,0.025911814469446,0.001905917436943,31.7995527760612,31.7736409615917,49.7900006340194,0.497578987822316
