#       Ef[,Ry] T [K],         N,     DOS(Ef),       S,     s/t,       R_H,  kappa0, c,   chi
-0.16008,600,6.51597136,176.2426,9.5117E-06,9.38525E+20,4.5946E-09,1.3668E+16,8.0500434,2.63115E-09
-0.16008,900,6.53058624,168.88792,1.61794E-05,9.37359E+20,4.41834E-09,2.10008E+16,11.587593,2.52135E-09
-0.16008,1200,6.55465628,163.82401,2.33106E-05,9.41232E+20,4.12451E-09,2.82672E+16,15.43159,2.44575E-09
-0.15958,300,6.45913539,175.96086,5.00317E-06,9.41208E+20,4.73625E-09,6.85311E+15,4.789673,2.62694E-09
-0.15958,600,6.47198498,175.63795,9.73842E-06,9.3564E+20,4.67189E-09,1.36007E+16,8.0371281,2.62212E-09
-0.15958,900,6.48842648,168.37951,1.63201E-05,9.3383E+20,4.4976E-09,2.08567E+16,11.521417,2.51376E-09
-0.15958,1200,6.51377269,163.23902,2.34535E-05,9.36983E+20,4.20391E-09,2.80788E+16,15.37294,2.43702E-09
-0.15908,300,6.41525138,175.17855,5.08976E-06,9.38524E+20,4.81008E-09,6.8286E+15,4.760268,2.61527E-09
-0.15908,600,6.42815731,174.97413,9.96816E-06,9.32669E+20,4.74973E-09,1.35352E+16,8.019511,2.61221E-09
-0.15908,900,6.4464018,167.80736,1.6474E-05,9.30287E+20,4.57675E-09,2.0715E+16,11.459622,2.50522E-09
-0.15908,1200,6.47303965,162.61958,2.36071E-05,9.32753E+20,4.283E-09,2.78907E+16,15.31874,2.42777E-09
-0.15858,300,6.3715163,174.7538,5.20376E-06,9.35821E+20,4.8831E-09,6.80215E+15,4.7166461,2.60892E-09
-0.15858,600,6.38450236,174.25688,1.01997E-05,9.29613E+20,4.82817E-09,1.34715E+16,7.9966393,2.60151E-09
-0.15858,900,6.40452807,167.17196,1.664E-05,9.26725E+20,4.65582E-09,2.05757E+16,11.402027,2.49573E-09
-0.15858,1200,6.43246581,161.96528,2.37712E-05,9.28537E+20,4.36176E-09,2.7703E+16,15.269123,2.418E-09
-0.15808,300,6.32785259,174.59213,5.34951E-06,9.33025E+20,4.95628E-09,6.77481E+15,4.6635583,2.60651E-09
-0.15808,600,6.34103309,173.48882,1.04318E-05,9.26471E+20,4.90725E-09,1.34092E+16,7.9683425,2.59004E-09
-0.15808,900,6.36282104,166.47391,1.68171E-05,9.23139E+20,4.73482E-09,2.04387E+16,11.348481,2.48531E-09
-0.15808,1200,6.39205993,161.27594,2.39456E-05,9.2433E+20,4.44021E-09,2.7516E+16,15.224194,2.40771E-09
-0.15758,300,6.28420561,174.60651,5.5245E-06,9.30073E+20,5.0306E-09,6.74746E+15,4.6044979,2.60673E-09
-0.15758,600,6.2977622,172.66967,1.06637E-05,9.23243E+20,4.98704E-09,1.33482E+16,7.9347985,2.57781E-09
-0.15758,900,6.32129628,165.71386,1.70046E-05,9.19526E+20,4.81376E-09,2.03039E+16,11.298864,2.47397E-09
-0.15758,1200,6.35183076,160.55153,2.41303E-05,9.20129E+20,4.51835E-09,2.73297E+16,15.18403,2.3969E-09
-0.15708,300,6.24054074,174.72436,5.72093E-06,9.26918E+20,5.10693E-09,6.72069E+15,4.5415008,2.60849E-09
-0.15708,600,6.25470274,171.7967,1.08941E-05,9.19928E+20,5.06756E-09,1.32884E+16,7.8964819,2.56478E-09
-0.15708,900,6.27996922,164.89253,1.72015E-05,9.15882E+20,4.89266E-09,2.01713E+16,11.253091,2.4617E-09
-0.15708,1200,6.31178707,159.79224,2.4325E-05,9.15931E+20,4.59616E-09,2.71442E+16,15.14868,2.38556E-09
-0.15658,300,6.19683987,174.88502,5.92798E-06,9.23536E+20,5.18592E-09,6.69478E+15,4.475503,2.61088E-09
-0.15658,600,6.21186872,170.86521,1.11223E-05,9.16527E+20,5.14885E-09,1.32295E+16,7.8541022,2.55087E-09
-0.15658,900,6.23885506,164.0107,1.74071E-05,9.12205E+20,4.97152E-09,2.00407E+16,11.21111,2.44854E-09
-0.15658,1200,6.27193752,158.99846,2.45294E-05,9.1173E+20,4.67366E-09,2.69597E+16,15.118171,2.37371E-09
-0.15608,300,6.15309948,175.03037,6.13443E-06,9.19927E+20,5.268E-09,6.66968E+15,4.4070878,2.61305E-09
-0.15608,600,6.16927552,169.86911,1.13472E-05,9.13041E+20,5.23093E-09,1.31716E+16,7.8085356,2.536E-09
-0.15608,900,6.19796884,163.0692,1.76206E-05,9.0849E+20,5.05033E-09,1.9912E+16,11.1729,2.43448E-09
-0.15608,1200,6.23229067,158.17074,2.47435E-05,9.07524E+20,4.75084E-09,2.67761E+16,15.092505,2.36135E-09
-0.15558,300,6.10933143,175.09424,6.33074E-06,9.16108E+20,5.35343E-09,6.64514E+15,4.3373016,2.61401E-09
-0.15558,600,6.12694011,168.80162,1.1568E-05,9.09472E+20,5.31379E-09,1.31143E+16,7.7607552,2.52006E-09
-0.15558,900,6.15732535,162.069,1.78414E-05,9.04738E+20,5.12908E-09,1.97852E+16,11.13846,2.41955E-09
-0.15558,1200,6.19285491,157.30982,2.49668E-05,9.0331E+20,4.82768E-09,2.65937E+16,15.07166,2.3485E-09
-0.15508,300,6.06556578,174.99669,6.51025E-06,9.12105E+20,5.44232E-09,6.62081E+15,4.2681684,2.61255E-09
-0.15508,600,6.08488124,167.65579,1.1784E-05,9.05822E+20,5.39743E-09,1.30575E+16,7.7117645,2.50296E-09
-0.15508,900,6.11693915,161.01114,1.80689E-05,9.00945E+20,5.20774E-09,1.966E+16,11.10781,2.40376E-09
-0.15508,1200,6.15363845,156.41662,2.51993E-05,8.99084E+20,4.90418E-09,2.64123E+16,15.055593,2.33517E-09
-0.15458,300,6.02185405,174.64769,6.66911E-06,9.07944E+20,5.53469E-09,6.59645E+15,4.202636,2.60734E-09
-0.15458,600,6.04311929,166.42516,1.19944E-05,9.02096E+20,5.48179E-09,1.30011E+16,7.6625362,2.48459E-09
-0.15458,900,6.07682448,159.89689,1.83027E-05,8.97112E+20,5.28629E-09,1.95364E+16,11.080977,2.38712E-09
-0.15458,1200,6.11464921,155.49222,2.54407E-05,8.94845E+20,4.98033E-09,2.62321E+16,15.044238,2.32137E-09
-0.15408,300,5.97827018,173.96057,6.80538E-06,9.03646E+20,5.63054E-09,6.57193E+15,4.1439179,2.59708E-09
-0.15408,600,6.00167618,165.10425,1.21988E-05,8.98297E+20,5.56678E-09,1.29449E+16,7.6139599,2.46487E-09
-0.15408,900,6.03699529,158.72766,1.85423E-05,8.93235E+20,5.3647E-09,1.94142E+16,11.057988,2.36967E-09
-0.15408,1200,6.07589483,154.53789,2.56907E-05,8.90588E+20,5.05612E-09,2.60532E+16,15.037508,2.30712E-09
-0.15358,300,5.93490742,172.8709,6.91771E-06,8.99228E+20,5.72977E-09,6.54729E+15,4.0944699,2.58081E-09
-0.15358,600,5.96057503,163.68895,1.2397E-05,8.9443E+20,5.65232E-09,1.28887E+16,7.566802,2.44374E-09
-0.15358,900,5.99746509,157.50516,1.87874E-05,8.89316E+20,5.44291E-09,1.92932E+16,11.038865,2.35142E-09
-0.15358,1200,6.03738263,153.55506,2.59493E-05,8.86313E+20,5.13153E-09,2.58754E+16,15.035292,2.29245E-09
-0.15308,300,5.89187051,171.35347,7.00434E-06,8.94705E+20,5.83223E-09,6.5226E+15,4.0550361,2.55816E-09
-0.15308,600,5.91983978,162.17683,1.25889E-05,8.90501E+20,5.73826E-09,1.28323E+16,7.521678,2.42116E-09
-0.15308,900,5.95824698,156.23134,1.90377E-05,8.85352E+20,5.52089E-09,1.91734E+16,11.023613,2.3324E-09
-0.15308,1200,5.99911954,152.54532,2.62161E-05,8.82016E+20,5.20654E-09,2.56989E+16,15.037461,2.27737E-09
-0.15258,300,5.84926466,169.42976,7.06291E-06,8.90092E+20,5.93758E-09,6.49796E+15,4.0242057,2.52944E-09
-0.15258,600,5.87949474,160.56732,1.27747E-05,8.86515E+20,5.82443E-09,1.27756E+16,7.4790393,2.39713E-09
-0.15258,900,5.91935351,154.90846,1.9293E-05,8.81345E+20,5.59857E-09,1.90546E+16,11.012217,2.31265E-09
-0.15258,1200,5.96111207,151.51043,2.6491E-05,8.77696E+20,5.28115E-09,2.55237E+16,15.043861,2.26192E-09
-0.15208,300,5.80718437,167.16198,7.09102E-06,8.85415E+20,6.04526E-09,6.47332E+15,3.998721,2.49559E-09
