Energy,T,N,DOS,S,sigma,RH,kappa,c,chi
-0.00558,1200,-0.00987819,1.8667916,0.000129995,3.69541E+19,1.44181E-06,1.51788E+15,1.0793612,2.78696E-11
-0.00508,1200,-0.01033298,1.7725813,0.00013213,3.5898E+19,1.4949E-06,1.49731E+15,1.0552706,2.64631E-11
-0.00458,1200,-0.01076499,1.6844353,0.000134288,3.48562E+19,1.5506E-06,1.47696E+15,1.03211,2.51472E-11
-0.00408,1200,-0.01117569,1.6021249,0.000136469,3.38294E+19,1.60904E-06,1.45683E+15,1.0098997,2.39184E-11
-0.00358,1200,-0.01156652,1.525431,0.000138672,3.28179E+19,1.6704E-06,1.4369E+15,0.9886585,2.27734E-11
-0.00308,1200,-0.01193885,1.4541449,0.000140897,3.18223E+19,1.73483E-06,1.41718E+15,0.96840371,2.17091E-11
-0.00258,1200,-0.01229402,1.3880687,0.000143141,3.08427E+19,1.8025E-06,1.39766E+15,0.94915085,2.07227E-11
-0.00208,1200,-0.01263331,1.3270153,0.000145405,2.98798E+19,1.87361E-06,1.37835E+15,0.93091393,1.98112E-11
-0.00158,1200,-0.01295794,1.2708089,0.000147687,2.89338E+19,1.94833E-06,1.35923E+15,0.9137054,1.89721E-11
-0.00108,1200,-0.0132691,1.2192852,0.000149986,2.8005E+19,2.02688E-06,1.34031E+15,0.8975362,1.82029E-11
-0.00058,1200,-0.01356796,1.1722914,0.000152299,2.70938E+19,2.10947E-06,1.32159E+15,0.88241582,1.75013E-11
-0.00008,1200,-0.01385561,1.1296863,0.000154625,2.62005E+19,2.19632E-06,1.30308E+15,0.86835231,1.68652E-11
0.00042,1200,-0.01413315,1.0913406,0.000156962,2.53252E+19,2.28767E-06,1.28477E+15,0.85535234,1.62928E-11
0.00092,1200,-0.01440163,1.0571366,0.000159308,2.44683E+19,2.38376E-06,1.26667E+15,0.84342129,1.57821E-11
0.00142,1200,-0.01466206,1.0269685,0.000161659,2.363E+19,2.48484E-06,1.24879E+15,0.83256322,1.53318E-11
0.00192,1200,-0.01491544,1.0007423,0.000164013,2.28104E+19,2.59119E-06,1.23112E+15,0.82278097,1.49402E-11
0.00242,1200,-0.01516275,0.97837568,0.000166365,2.20097E+19,2.70307E-06,1.21368E+15,0.81407621,1.46063E-11
0.00292,1200,-0.01540494,0.95979814,0.000168713,2.12281E+19,2.82077E-06,1.19647E+15,0.80644942,1.4329E-11
0.00342,1200,-0.01564296,0.94495083,0.00017105,2.04657E+19,2.94458E-06,1.1795E+15,0.79989998,1.41073E-11
0.00392,1200,-0.01587773,0.93378653,0.000173372,1.97226E+19,3.07479E-06,1.16278E+15,0.79442621,1.39406E-11
0.00442,1200,-0.01611016,0.92626957,0.000175672,1.89989E+19,3.21171E-06,1.1463E+15,0.79002532,1.38284E-11
0.00492,1200,-0.01634116,0.92237577,0.000177945,1.82946E+19,3.35563E-06,1.13009E+15,0.78669352,1.37703E-11
0.00542,1200,-0.01657165,0.92209238,0.000180181,1.76099E+19,3.50685E-06,1.11416E+15,0.78442598,1.3766E-11
0.00592,1200,-0.01680251,0.92541795,0.000182373,1.69448E+19,3.66567E-06,1.0985E+15,0.78321688,1.38157E-11
0.00642,1200,-0.01703466,0.93236229,0.00018451,1.62992E+19,3.83236E-06,1.08313E+15,0.7830594,1.39194E-11
0.00692,1200,-0.01726899,0.94294632,0.000186582,1.56733E+19,4.00718E-06,1.06805E+15,0.7839457,1.40774E-11
0.00742,1200,-0.01750644,0.95720201,0.000188577,1.5067E+19,4.19037E-06,1.05328E+15,0.78586696,1.42902E-11
0.00792,1200,-0.01774791,0.97517223,0.000190481,1.44804E+19,4.38214E-06,1.03883E+15,0.78881337,1.45585E-11
0.00842,1200,-0.01799434,0.99691062,0.000192278,1.39133E+19,4.58264E-06,1.02471E+15,0.79277411,1.4883E-11
0.00892,1200,-0.01824668,1.0224815,0.000193953,1.33658E+19,4.79196E-06,1.01092E+15,0.79773733,1.52648E-11
0.00942,1200,-0.0185059,1.0519595,0.000195486,1.28378E+19,5.01014E-06,9.97477E+14,0.80369019,1.57049E-11
0.00992,1200,-0.01877299,1.0854296,0.000196858,1.23293E+19,5.23711E-06,9.8439E+14,0.81061879,1.62045E-11
0.01042,1200,-0.01904896,1.1229869,0.000198046,1.18402E+19,5.47272E-06,9.71667E+14,0.81850822,1.67652E-11
0.01092,1200,-0.01933484,1.1647362,0.000199025,1.13704E+19,5.71664E-06,9.59321E+14,0.82734252,1.73885E-11
0.01142,1200,-0.01963169,1.2107916,0.000199769,1.092E+19,5.96845E-06,9.4736E+14,0.83710469,1.80761E-11
